latitude,longitude,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,has_VC,has_angel,avg_participants,is_top500
37.779281,-122.419236,0.0,1.6685,2,2,1300000,1,1,1,1.0,1
37.406914,-122.09037,4.5452,4.5452,3,1,7500000,1,0,0,3.0,1
37.422859,-122.045217,1.3534,2.1644,3,2,10500000,1,0,0,2.0,1
40.73901,-73.997259,2.6575,2.6575,1,1,4000000,1,0,0,1.0,1
42.546483,-71.17366700000002,2.7836,10.9507,10,3,19009671,1,0,0,2.0,1
37.54827,-121.988572,2.6986,4.0027,2,2,19700000,1,1,0,4.0,1
42.3751,-71.105616,-0.5836,1.3425,4,7,457282,2,1,1,1.0,1
40.397761,-105.07498,3.5123,3.9562,5,2,510000000,3,1,0,2.5,1
39.78373,-100.445882,1.0356,1.0356,2,1,1000000,2,0,1,1.0,0
32.721834,-117.161797,0.5315,1.9205,12,3,2100000,2,1,1,4.0,1
42.387597,-71.099497,0.0,0.5808,1,2,53000,1,0,1,1.0,1
40.441694,-79.990086,-1.011,1.4877,3,2,125000,2,1,1,1.0,1
38.958402,-77.357974,2.3178,4.2356,2,2,10600000,1,1,0,3.0,1
41.875555,-87.624421,1.0575,1.7699,6,3,132885,2,0,1,1.0,1
39.099909,-84.504243,1.8329,1.8329,4,1,690000,1,0,1,3.0,1
37.835676,-122.263548,0.2493,0.2493,1,1,20000,2,0,1,1.0,0
37.36883,-122.03635,1.9562,1.9562,5,1,5000000,1,0,0,1.0,0
39.568064,-104.977831,1.3397,4.6548,0,5,7228704,2,1,0,2.0,1
41.940611,-87.835972,4.3836,5.9562,5,2,55000000,1,1,0,4.0,1
37.404788,-121.940842,2.3479,3.4301,4,2,30000000,2,0,0,2.5,1
35.149021999999995,-90.05162800000002,0.0,0.0,2,1,15000,1,0,1,1.0,0
40.730646,-73.986614,0.3315,4.0027,8,4,1449998,3,1,1,1.0,1
39.78373,-100.445882,1.5151,1.7644,6,2,2238055,1,1,1,1.0,1
37.779281,-122.419236,0.7123,2.2849,5,2,5200000,2,1,0,1.0,1
33.97279,-118.427578,4.6685,9.1178,33,3,37000000,4,0,0,1.3333,1
37.779281,-122.419236,0.0,0.0,4,1,325000,1,0,1,4.0,0
